"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","temp","dewp","NUM_COLLISIONS"
"137",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,40.4,25,0.711711711711712
"138",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,41.9,29.5,0.822072072072072
"139",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,43.6,27.9,0.529279279279279
"140",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,43.2,31,0.313063063063063
"141",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,43,34.8,0.626126126126126
"142",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,44.4,32.8,0.81981981981982
"143",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,46.5,32.7,0.86036036036036
"144",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,47.3,36.2,0.173423423423423
"145",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,48.3,40.8,0.391891891891892
"146",0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,2012,44.1,27.7,0.34009009009009
"147",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2012,36.6,17.2,0.243243243243243
"148",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2012,40.3,19.7,0.576576576576577
"149",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2012,38.7,27.2,0.621621621621622
"150",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2012,37.5,28.8,0.461711711711712
"151",0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2012,37.5,21.9,0.468468468468468
"152",0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2012,41.3,25.8,0.605855855855856
"153",0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2012,38.5,32.1,0.38963963963964
"154",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2012,44.3,41,0.333333333333333
"155",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2012,53.5,45.3,0.707207207207207
